SBA Code,Size standard in millions,SBA Classification,Alloc Nbr,Size
11413,$11 million in revenues,Commercial Fishing,C007,Small
11413,$11 million in revenues,Commercial Fishing,C008,Small
11413,$11 million in revenues,Commercial Fishing,C009,Small
?,?,?,C011,Unknown
?,?,?,C033,Unknown
11413,$11 million in revenues,Commercial Fishing,C046,Small
?,?,?,C063,Unknown
11413,$11 million in revenues,Commercial Fishing,C065,Small
11413,$11 million in revenues,Commercial Fishing,C071,
11413,$11 million in revenues,Commercial Fishing,C079,Small
?,?,?,C080,Unknown
11413,$11 million in revenues,Commercial Fishing,C110,Small
?,?,?,C122,
?,?,?,C133,Unknown
11413,$11 million in revenues,Commercial Fishing,C134,Small
11413,$11 million in revenues,Commercial Fishing,C135,Small
?,?,?,C136,Unknown
?,Private Home,?,C146,Unknown
424460,100 employees,Fish and Seafood Merchant Wholesalers,C149,Large
11413,$11 million in revenues,Commercial Fishing,C151,Small
?,?,?,C166,Unknown
424460,100 employees,Fish and Seafood Merchant Wholesalers,C188,Large
?,?,?,C189,Unknown
?,?,?,C201,Unknown
424460,100 employees,Fish and Seafood Merchant Wholesalers,C215,Large
?,"Fishermen, state waters only?",?,C229,Unknown
424460,100 employees,Fish and Seafood Merchant Wholesalers,C232,
11413,$11 million in revenues,Commercial Fishing,C248,Small
11413,$11 million in revenues,Commercial Fishing,C253,
424460,100 employees,Fish and Seafood Merchant Wholesalers,C254,
11413,$11 million in revenues,Commercial Fishing,C454,Small
,,,C495,
424460,100 employees,Fish and Seafood Merchant Wholesalers,C515,Large -201 to 500 employees
11413,$11 million in revenues,Commercial Fishing,C528,Small
522130,$850 million,Credit Unions,C529,Large
?,?,?,C540,Unknown
522130,$850 million,Credit Unions,C546,Large
522130,$850 million,Credit Unions,C547,Large
?,?,?,C548,Unknown
11413,$11 million in revenues,Commercial Fishing,C553,
522110,$850 million,Commercial Banking,C559,
11413,$11 million in revenues,Commercial Fishing,C561,
11413,$11 million in revenues,Commercial Fishing,C563,Small
11413,$11 million in revenues,Commercial Fishing,C565,
11413,$11 million in revenues,Commercial Fishing,C569,
11413,$11 million in revenues,Commercial Fishing,C574,
424460,100 employees,Fish and Seafood Merchant Wholesalers,C575,
424460,100 employees,Fish and Seafood Merchant Wholesalers,C583,Small
?,?,?,C584,Unknown
11413,$11 million in revenues,Commercial Fishing,C587,
11413,$11 million in revenues,Commercial Fishing,C588,
11413,$11 million in revenues,Commercial Fishing,C589,Small
424460,100 employees,Fish and Seafood Merchant Wholesalers,C594,
?,?,?,C596,
11413,$11 million in revenues,Commercial Fishing,C602,
11413,$11 million in revenues,Commercial Fishing,C604,Small
11413,$11 million in revenues,Commercial Fishing,C605,
?,?,?,C613,Unknown
424460,100 employees,Fish and Seafood Merchant Wholesalers,C615,
11413,$11 million in revenues,Commercial Fishing,C621,
424460?,100 employees?,Fish and Seafood Merchant Wholesalers?,C624,Small
424460,100 employees,Fish and Seafood Merchant Wholesalers,C625,
11413,$11 million in revenues,Commercial Fishing,C626,
522110,$850 million,Commercial Banking,C632,Large
522110,$850 million,Commercial Banking,C634,Large
424460,100 employees,Fish and Seafood Merchant Wholesalers,C635,
11413,$11 million in revenues,Commercial Fishing,C637,Small
424460,100 employees,Fish and Seafood Merchant Wholesalers,C638,Unknown
11413?,$11 million in revenues?,Commercial Fishing?,C641,
11413,$11 million in revenues,Commercial Fishing,C647,
11413,$11 million in revenues,Commercial Fishing,C648,
522110,$850 million,Commercial Banking,C655,Small
522130,$850 million,Credit Unions,C656,Large
522130,$850 million,Credit Unions,C661,Large
522130,$850 million,Credit Unions,C662,Large
424460,100 employees,Fish and Seafood Merchant Wholesalers,C663,Large
?,?,?,C664,
424460?,100 employees?,Fish and Seafood Merchant Wholesalers?,C665,
NA,Sector 92,Sector 92,C666,Sector 92
424460,100 employees,Fish and Seafood Merchant Wholesalers,C668,
See row 84,See row 84,See row 84,C669,Sector 92
424460,100 employees,Fish and Seafood Merchant Wholesalers,C672,
See row 84,See row 84,See row 84,C674,Sector 92
424460,100 employees,Fish and Seafood Merchant Wholesalers,C676,Large
424460,100 employees,Fish and Seafood Merchant Wholesalers,C8272,
?,?,?,C8287,
?,?,?,C8288,Unknown
424460,100 employees,Fish and Seafood Merchant Wholesalers,C8290,Small
424460,100 employees,Fish and Seafood Merchant Wholesalers,C8293,
522110,$850 million,Commercial Banking,C8296,Large
See row 84,See row 84,See row 84,C8297,Sector 92
See row 84,See row 84,See row 84,C8298,Sector 92
424460,100 employees,Fish and Seafood Merchant Wholesalers,C8301,
522110,$850 million,Commercial Banking,C8302,Large
522110,$850 million,Commercial Banking,C8303,Small
11413,$11 million in revenues,Commercial Fishing,C8305,
11413,$11 million in revenues,Commercial Fishing,C8306,Small
523991,$38.5 million in revenues,"Trust, Fiduciary and Custody Activities",C8308,
424460,100 employees,Fish and Seafood Merchant Wholesalers,C8309,Small
424460,100 employees,Fish and Seafood Merchant Wholesalers,C8311,Atlantic Capes?
?,?,?,C8315,Unknown
11413,$11 million in revenues,Commercial Fishing,C8316,
523991,$38.5 million in revenues,"Trust, Fiduciary and Custody Activities",C8318,Unknown
424460,100 employees,Fish and Seafood Merchant Wholesalers,C8320,
424460,100 employees,Fish and Seafood Merchant Wholesalers,C8321,
?,?,?,C8323,
?,?,?,C8325,Unknown
424460,100 employees,Fish and Seafood Merchant Wholesalers,C8327,Unknown
522110,$850 million,Commercial Banking,C8328,Large
424460,100 employees,Fish and Seafood Merchant Wholesalers,C8329,
?,?,?,C8332,
